Sample ID,Coral ID,Dilution date,PCR 1 date,Gel date,Desired concentration (ng/ul),Qubit value (ng/ul),DNA for dilution (ul),water for dilution (ul),n =,PCR mix (ul),water (ul),F 16S primer (ul),R 16S primer (ul),Annealing temp C,Notes
203,2IR45,9/15/21,10/6/21,,5,25.5,1.960784314,8.039215686,100.8,630,277.2,126,126,70,
204,8IR22,9/14/21,10/6/21,,5,25.7,1.945525292,8.054474708,100.8,630,277.2,126,126,70,
205,4EV13,7/27/21,9/23/21,,5,25.9,1.930501931,8.069498069,100.8,630,277.2,126,126,70,
206,2JQ3,9/9/21,9/30/21,10/21/21,5,26.3,1.901140684,8.098859316,100.8,630,277.2,126,126,70,
207,0JQ2,7/27/21,9/23/21,,5,26.7,1.872659176,8.127340824,100.8,630,277.2,126,126,70,
208,2FU39,7/27/21,9/23/21,10/14/21,5,27.3,1.831501832,8.168498168,100.8,630,277.2,126,126,70,
209,2GT8,9/15/21,10/6/21,,5,27.5,1.818181818,8.181818182,100.8,630,277.2,126,126,70,
210,4JQ11,7/27/21,9/23/21,10/14/21,5,27.7,1.805054152,8.194945848,100.8,630,277.2,126,126,70,
211,6FU17,9/14/21,10/7/21,,5,27.8,1.798561151,8.201438849,88.2,551.25,242.55,110.25,110.25,70,
212,2JQ7,9/7/21,,,5,28.1,1.779359431,8.220640569,,,,,,,
213,2BY9,9/14/21,10/6/21,,5,28.5,1.754385965,8.245614035,100.8,630,277.2,126,126,70,
214,4EV12,9/15/21,10/6/21,,5,29.4,1.700680272,8.299319728,100.8,630,277.2,126,126,70,
215,2EV32,9/14/21,9/30/21,,5,30.4,1.644736842,8.355263158,100.8,630,277.2,126,126,70,
216,2EV57,9/15/21,10/13/21,10/21/21,5,9.82,5.091649695,4.908350305,31.50,196.88,86.63,39.38,39.38,70.00,
217,0JQ1,7/26/21,9/23/21,10/14/21,5,30.9,1.618122977,8.381877023,100.8,630,277.2,126,126,70,
218,2FU10,7/26/21,9/23/21,,5,31.8,1.572327044,8.427672956,100.8,630,277.2,126,126,70,
219,4IR11,7/27/21,9/23/21,,5,31.8,1.572327044,8.427672956,100.8,630,277.2,126,126,70,
220,0EV48,9/14/21,10/6/21,,5,33,1.515151515,8.484848485,100.8,630,277.2,126,126,70,
221,2JQ33,9/7/21,9/29/21,,5,33,1.515151515,8.484848485,100.8,630,277.2,126,126,70,
222,2IR8,9/9/21,10/7/21,,5,33,1.515151515,8.484848485,88.2,551.25,242.55,110.25,110.25,70,
223,4CX13,7/26/21,9/23/21,,5,33.5,1.492537313,8.507462687,100.8,630,277.2,126,126,70,
224,2FU8,7/27/21,9/23/21,,5,35.9,1.39275766,8.60724234,100.8,630,277.2,126,126,70,
225,8GT24,9/14/21,9/30/21,,5,37.7,1.326259947,8.673740053,100.8,630,277.2,126,126,70,
226,4JQ13,9/14/21,10/7/21,,5,47,1.063829787,8.936170213,88.2,551.25,242.55,110.25,110.25,70,
blank 1,,,9/23/21,,5,,,,100.8,630,277.2,126,126,70,
blank 2,,,9/23/21,,5,,,,100.8,630,277.2,126,126,70,
blank 3,,,9/30/21,,5,,,,100.8,630,277.2,126,126,70,
blank 4,,,10/13/21,10/21/21,5,9.82,5.091649695,4.908350305,31.50,196.88,86.63,39.38,39.38,70.00,
